team_id,home_attack_rating,away_attack_rating,home_defense_rating,away_defense_rating
1,0.8418154196733766,0.43662213086673496,1.0,0.8450559066601846
2,0.7037599696164072,0.2510831670797815,0.5600884636354562,0.35481769567331073
3,0.7298429436339672,0.6784857828023294,0.785833531710988,0.3558677685950414
4,0.5620964679073299,0.23838744130745831,0.3778733403469434,0.35368011667476923
5,0.5355108241549563,0.45820486467968485,0.6812606068052495,0.4618376276130289
6,1.0,0.6058380186607015,0.7759320550133233,0.8684491978609625
7,0.4979111279908849,0.4382544384660338,0.5547883246431122,0.5295673310646573
8,0.24325864033421954,0.1072587308304617,0.5953618024465724,0.6060476421973748
9,0.49459350774111366,0.543508050702295,0.6261843145988036,0.4535537190082645
10,0.11899868188825076,0.0,0.0,0.0
11,0.0,0.0285452310420569,0.16970581233729848,0.09291200777831787
12,0.9570496637697998,1.0,0.5940609569738065,1.0
13,0.8765666540068366,0.6430183584225057,0.6973437871958104,0.9064268351968886
14,0.47790487254529634,0.4698526892771495,0.6725632184790706,0.7190082644628101
15,0.7372824557092112,0.4025351147653303,0.6182502322938346,0.6766942148760331
16,0.35203637094792356,0.36313806097978757,0.28579283229537017,0.31123966942148756
17,0.03837045642411906,0.09849263446385736,0.07292720947912455,0.07553719008264495
18,0.7362771162395835,0.462487153134635,0.4068037136296968,0.5373553719008264
19,0.2062286365362704,0.46908691534167596,0.3658109550540229,0.7016042780748661
20,0.20907709836688193,0.30130181569030484,0.7947351850287583,0.6335537190082643
